z_index,solver_z,stella_z,z_error,solver_B,stella_bmag,B_error,solver_F,stella_b_dot_gradz_over_2pi,F_error,solver_kperp2,stella_kperp2,kperp2_error,solver_D_y,stella_B_times_gradB_dot_grady,stella_B_times_kappa_dot_grady,stella_B_times_drift_y_sum,phi_abs
63,-0.25390625,-0.25390625,0.0,1.142,1.1418707335765843,-0.00012926642341559713,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.5095799999999999,0.5095550510789603,-2.4948921039658067e-05,-0.029678999999999997,-0.03522597738635015,0.005550981523622836,-0.029674995862727316,3.428476960553284e-11
64,-0.25,-0.25,0.0,1.016,1.0155448131538403,-0.0004551868461597497,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.26325,0.26326158995080223,1.1589950802248783e-05,0.08572,0.017082213309108387,0.06863666253881222,0.08571887584792061,3.488276302175619e-11
65,-0.24609375,-0.24609375000000003,-2.7755575615628914e-17,0.9318,0.9318120279286596,1.2027928659619214e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.18999000000000002,0.19001814644815831,2.8146448158294923e-05,0.08437,0.011567633639590569,0.07280316414404367,0.08437079778363424,3.2580888290230756e-11
66,-0.2421875,-0.2421875,0.0,0.937,0.9370006671586186,6.67158618572472e-07,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.16848,0.1684428857137612,-3.711428623878743e-05,-0.0288,-0.04467858256269937,0.015882836498379026,-0.02879574606432034,3.484791770313032e-11
67,-0.23828125,-0.23828125,0.0,1.036,1.0363858057802071,0.00038580578020708245,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.11312999999999998,0.11313751659748271,7.516597482729037e-06,-0.23708,-0.14328097323773253,-0.09378272267197703,-0.23706369590970955,5.055184859000311e-11
68,-0.234375,-0.234375,0.0,1.17,1.1696177171723456,-0.00038228282765429,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.086994,0.0869979968351925,3.9968351925046e-06,-0.3434,-0.1911272383325072,-0.15225906412816737,-0.3433863024606746,7.265109881384436e-11
69,-0.23046875,-0.23046875,0.0,1.274,1.2737977650081194,-0.00020223499188065652,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.16965,0.16965586173339278,5.861733392786839e-06,-0.3653,-0.19903493131999636,-0.1662570730283652,-0.36529200434836157,8.67021125382855e-11
70,-0.2265625,-0.22656250000000003,-2.7755575615628914e-17,1.236,1.236294690805572,0.00029469080557209537,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.30123,0.3012690198224226,3.901982242260349e-05,-0.22503,-0.12990747662766175,-0.09512532927654499,-0.22503280590420674,8.897109132754403e-11
71,-0.22265625,-0.22265625,0.0,1.117,1.117445649673905,0.00044564967390492427,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.30915,0.30915583620328213,5.836203282150176e-06,-0.11532,-0.0789519653275157,-0.036367689186788066,-0.11531965451430376,7.937314636035107e-11
72,-0.21875,-0.21875,0.0,0.9767,0.9767028014859203,2.801485920245206e-06,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.24317999999999998,0.24321820831013222,3.8208310132237244e-05,0.11109,0.027672696446850345,0.08342049353592866,0.111093189982779,6.058754930490147e-11
73,-0.21484375,-0.21484375000000003,-2.7755575615628914e-17,0.9152,0.9151784503071835,-2.154969281653596e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.19341,0.19341593611317476,5.936113174759283e-06,0.12844,0.032475656434608195,0.09596471675622598,0.12844037319083418,5.025025815600436e-11
74,-0.2109375,-0.2109375,0.0,0.9721,0.9721350933151498,3.509331514983671e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.22347,0.22348154133661197,1.1541336611964326e-05,-0.11016000000000001,-0.08321462754061995,-0.02695099912516757,-0.11016562666578752,5.462716024702543e-11
75,-0.20703125,-0.20703125,0.0,1.07,1.0701972612519002,0.000197261251900116,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.30230999999999997,0.3023251240992434,1.5124099243424283e-05,-0.1966,-0.12152211851966527,-0.07509526315964046,-0.19661738167930573,5.7513639124377265e-11
76,-0.203125,-0.20312500000000003,-2.7755575615628914e-17,1.176,1.1763999917469363,0.00039999174693639006,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.39951,0.3995209539675331,1.0953967533144926e-05,-0.2708,-0.15461716370089446,-0.11619175311385102,-0.2708089168147455,4.980979638484863e-11
77,-0.19921875,-0.19921875,0.0,1.228,1.2284165634684316,0.00041656346843166325,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.36971999999999994,0.36967835446667746,-4.1645533322476336e-05,-0.3658,-0.2005171227560324,-0.16528293284570203,-0.36580005560173445,3.661749195461334e-11
78,-0.1953125,-0.1953125,0.0,1.161,1.1606717893162903,-0.0003282106837096954,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.15021,0.15019687853365524,-1.312146634477318e-05,-0.375,-0.20724006397569184,-0.16776102162746953,-0.37500108560316137,2.1291076453371596e-11
79,-0.19140625,-0.19140625,0.0,1.052,1.0524348195092899,0.0004348195092898077,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.077661,0.07765682451087129,-4.175489128704912e-06,-0.31620000000000004,-0.18212047729799852,-0.13411174416246005,-0.3162322214604586,5.5361466637587775e-12
80,-0.1875,-0.1875,0.0,0.9872,0.9871557737343181,-4.4226265681901467e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.17478,0.17479208389829265,1.2083898292658546e-05,-0.039113999999999996,-0.04683692583772131,0.00772630976795132,-0.03911061606976999,2.5302879150010342e-11
