sample_index,time,ky_index,ky,log_amplitude,raw_amplitude,window_growth
90,9.0,0,0.1,-3.405741451045747,1.0045992986087187,0.04588754153908708
90,9.0,1,0.2,-3.5113771720760796,1.003764763831043,0.03757694844180217
90,9.0,2,0.3,-3.6649570572815326,1.0025994519315764,0.02596079199975519
91,9.1,0,0.1,-3.4013547208015855,1.004396366029991,0.043867302441613784
91,9.1,1,0.2,-3.5077829014567645,1.0036007377558491,0.03594270619315067
91,9.1,2,0.3,-3.662471296386096,1.0024888529605651,0.02485760895436515
92,9.200000000000001,0,0.1,-3.3971693631502666,1.0041941284927542,0.04185357651318829
92,9.200000000000001,1,0.2,-3.5043533797466555,1.003435409248245,0.034295217101089695
92,9.200000000000001,2,0.3,-3.660096370208619,1.0023777485485166,0.02374926177476999
93,9.3,0,0.1,-3.3931847162936086,1.0039925961167688,0.03984646856658017
93,9.3,1,0.2,-3.5010899209320097,1.0032687896938208,0.032634588146458594
93,9.3,2,0.3,-3.6578325755830927,1.0022663589432443,0.02263794625526402
94,9.4,0,0.1,-3.389400145784213,1.0037917410393042,0.03784570509395748
94,9.4,1,0.2,-3.497993867979489,1.0031008506745192,0.030960529525208114
94,9.4,2,0.3,-3.6556800848443527,1.002154809009984,0.02152490738740028
95,9.5,0,0.1,-3.3858150886711087,1.0035914911168158,0.03585057113104208
95,9.5,1,0.2,-3.4950666391051457,1.0029315173922546,0.029272288743431678
95,9.5,2,0.3,-3.6536390634895994,1.0020431056566321,0.020410213547532658
96,9.6,0,0.1,-3.3824291016778303,1.003391725922723,0.03385986993278423
96,9.6,1,0.2,-3.4923097783987678,1.002760664341416,0.02756860706377938
96,9.6,2,0.3,-3.6517098076047074,1.0019311180963948,0.019292558848920185
97,9.700000000000001,0,0.1,-3.3792419107710723,1.003192275400011,0.03187190906757963
97,9.700000000000001,1,0.2,-3.4897250081488713,1.0025881136485373,0.02584770249896414
97,9.700000000000001,2,0.3,-3.6498928952531915,1.001818563936873,0.018169123515159057
98,9.8,0,0.1,-3.376253459265866,1.0029929213779627,0.02988451505206335
98,9.8,1,0.2,-3.487314279856198,1.002413636434568,0.02410728292673534
98,9.8,2,0.3,-3.648189343250883,1.0017050038713484,0.01703552002308323
99,9.9,0,0.1,-3.3734639515697458,1.0027934019929285,0.02789507696120196
99,9.9,1,0.2,-3.4850798206874924,1.0022369574330035,0.022344591687053574
99,9.9,2,0.3,-3.64660075878856,1.0015898469310445,0.015885844623233558
100,10.0,0,0.1,-3.3708738898101993,1.0025934188672518,0.025900617595464675
100,10.0,1,0.2,-3.4830241720625175,1.00205776291911,0.02055648624974989
100,10.0,2,0.3,-3.6451294746523755,1.0014723670056935,0.01471284136184364
101,10.1,0,0.1,-3.368484100929405,1.0023926467023183,0.023897888807944495
101,10.1,1,0.2,-3.4811502172369346,1.0018757117762376,0.01873954825582842
101,10.1,2,0.3,-3.6437786575056816,1.0013517299111219,0.013508171466938328
102,10.200000000000001,0,0.1,-3.366295752370931,1.0021907447407559,0.02188348558473909
102,10.200000000000001,1,0.2,-3.4794611951815586,1.0016904492565393,0.016890220553759976
102,10.200000000000001,2,0.3,-3.6425523807299376,1.0012270289605403,0.012262767757440333
103,10.3,0,0.1,-3.3643103552092093,1.0019873693676546,0.01985397161721643
103,10.3,1,0.2,-3.4779606987800795,1.0015016227094746,0.015004964014790954
103,10.3,2,0.3,-3.6414556563284606,1.0010973260236014,0.010967244014770155
104,10.4,0,0.1,-3.3625297544424586,1.0017821869776258,0.017806007667506903
104,10.4,1,0.2,-3.4766526563514337,1.00130889828927,0.013080424286457995
104,10.4,2,0.3,-3.6404944238784047,1.0009616945820274,0.009612324500558635
105,10.5,0,0.1,-3.3609561071118037,1.001574886163359,0.015736473306549092
105,10.5,1,0.2,-3.475541296682737,1.0011119774576942,0.011113596686969136
105,10.5,2,0.3,-3.6396754979505324,1.0008192613392628,0.008189259278723634
106,10.6,0,0.1,-3.359591849826797,1.0013651883073131,0.013642572850067806
106,10.6,1,0.2,-3.4746310990224116,1.0009106120159212,0.009101976603251882
106,10.6,2,0.3,-3.639006478366585,1.0006692434274649,0.006690195839471637
107,10.700000000000001,0,0.1,-3.35843965806022,1.0011528557945153,0.011521917665770879
107,10.700000000000001,1,0.2,-3.4739267306861756,1.0007046164618665,0.007043683362359843
107,10.700000000000001,2,0.3,-3.6384956298549405,1.0005109790169677,0.005108485116447275
108,10.8,0,0.1,-3.357502400117252,1.0009376973064485,0.009372579429678429
108,10.8,1,0.2,-3.473432975914647,1.0004938766884806,0.004937547715284669
108,10.8,2,0.3,-3.6381517390022076,1.000343949989971,0.0034389085273289887
109,10.9,0,0.1,-3.356783088904537,1.0007195699790659,0.007193112127148485
109,10.9,1,0.2,-3.4731546602501178,1.0002783543979272,0.0027831566452940592
109,10.9,2,0.3,-3.6379839569353347,1.000167796143071,0.0016778206687284639
110,11.0,0,0.1,-3.356284834483758,1.0004983785701316,0.004982544207790002
110,11.0,1,0.2,-3.4730965748739986,1.0000580870631073,0.0005808537611917706
110,11.0,2,0.3,-3.638001636042358,0.9999823210492514,-0.00017679107023216352
111,11.1,0,0.1,-3.356010799905552,1.0002740721291112,0.0027403457820618466
111,11.1,1,0.2,-3.4732634050320477,0.999833183757328,-0.001668301580490811
111,11.1,2,0.3,-3.638214168400504,0.9997874902252559,-0.0021253235814589007
112,11.200000000000001,0,0.1,-3.355964162052076,1.0000466389410376,0.0004663785347602745
112,11.200000000000001,1,0.2,-3.473659665912653,0.9996038176203679,-0.003962608806053979
112,11.200000000000001,2,0.3,-3.6386308325451666,0.9995834226477871,-0.004166641446627869
113,11.3,0,0.1,-3.356148078288015,0.9998161006756152,-0.001839162359389419
113,11.3,1,0.2,-3.4742896482473604,0.9993702160624993,-0.006299823347073486
113,11.3,2,0.3,-3.639260653857511,0.9993703769834661,-0.006298213123443497
114,11.4,0,0.1,-3.3565656587809625,0.999582506681652,-0.004175804929476016
114,11.4,1,0.2,-3.475157374642763,0.9991326499702777,-0.008677263954024492
114,11.4,2,0.3,-3.6401122822321352,0.9991487341578984,-0.008516283746242722
115,11.5,0,0.1,-3.3572199435635834,0.999345929214993,-0.0065428478262097535
115,11.5,1,0.2,-3.476266566430345,0.9988914231382504,-0.011091917875822905
115,11.5,2,0.3,-3.6411938888987123,0.9989189780590803,-0.010816066665770879
116,11.6,0,0.1,-3.3581138829157977,0.9991064600925331,-0.008939393522142711
116,11.6,1,0.2,-3.4776206198357658,0.9986468629112646,-0.013540534054206126
116,11.6,2,0.3,-3.642513082468276,0.9986816761837736,-0.01319193569563564
117,11.700000000000001,0,0.1,-3.359250319545898,0.9988642088694607,-0.011364366301003076
117,11.700000000000001,1,0.2,-3.479222589684411,0.9983993126201358,-0.016019698486453342
117,11.700000000000001,2,0.3,-3.6440768426827574,0.9984374618214492,-0.015637602144815466
118,11.8,0,0.1,-3.360631971379261,0.9986193022080962,-0.013816518333631449
118,11.8,1,0.2,-3.481075178770287,0.9981491258980677,-0.018525890858760507
118,11.8,2,0.3,-3.645891469227135,0.9981870188949337,-0.01814626544377702
119,11.9,0,0.1,-3.3622614144765457,0.998371883724361,-0.01629443097284528
119,11.9,1,0.2,-3.48318073142354,0.9978966624677779,-0.02105552653252748
119,11.9,2,0.3,-3.647962542541786,0.9979310698778616,-0.02071073314650736
120,12.0,0,0.1,-3.3641410665741613,0.9981221133420777,-0.018796520976156538
120,12.0,1,0.2,-3.48554123062217,0.9976422845887967,-0.023604991986299145
120,12.0,2,0.3,-3.650294893952115,0.9976703664078419,-0.02332351410329289
121,12.1,0,0.1,-3.3662731727777033,0.9978701651203683,-0.021321062035419912
121,12.1,1,0.2,-3.488158299021142,0.9973863531390798,-0.026170683989721426
121,12.1,2,0.3,-3.652892583532636,0.9974056814954226,-0.02597689580520877
122,12.200000000000001,0,0.1,-3.3686597958195934,0.9976162226785447,-0.02386623041890045
122,12.200000000000001,1,0.2,-3.4910332052736366,0.9971292223331056,-0.028749062524946058
122,12.200000000000001,2,0.3,-3.6557588856629635,0.9971378017916607,-0.028663021303274177
123,12.3,0,0.1,-3.371302813800027,0.997360471716468,-0.026430179804335468
123,12.3,1,0.2,-3.4941668777381913,0.9968712323622915,-0.03133672464554771
123,12.3,2,0.3,-3.6588962837816843,0.9968675183717504,-0.031373981187208355
124,12.4,0,0.1,-3.3742039283059624,0.9971030896601809,-0.02901114505935453
124,12.4,1,0.2,-3.497559927886827,0.9966126997409605,-0.033930501486354576
124,12.4,2,0.3,-3.662306476921869,0.9965956149643131,-0.03410193140184881
125,12.5,0,0.1,-3.377364685183065,0.9968442330562091,-0.03160756877102611
125,12.5,1,0.2,-3.501212685330521,0.9963539057592867,-0.03652757443694212
125,12.5,2,0.3,-3.665990400827592,0.9963228534170143,-0.0368392390572271
126,12.6,0,0.1,-3.3807865090766964,0.9965840238738363,-0.034218238936314496
126,12.6,1,0.2,-3.5051252453659467,0.9960950840550191,-0.03912560035425741
126,12.6,2,0.3,-3.6699482656239195,0.9960499572276383,-0.03957864796327662
127,12.700000000000001,0,0.1,-3.3844707513346166,0.996322536235495,-0.036842422579201374
127,12.700000000000001,1,0.2,-3.509297528466064,0.9958364087804861,-0.04172283100117132
127,12.700000000000001,2,0.3,-3.674179610246822,0.9957775949025741,-0.04231344622902473
128,12.8,0,0.1,-3.3884187492385194,0.9960597851939017,-0.03947997903902781
128,12.8,1,0.2,-3.513729349448143,0.9955779850449954,-0.04431820982079076
128,12.8,2,0.3,-3.6786833715152314,0.9955063654558852,-0.04503761268409361
129,12.9,0,0.1,-3.3926318931008606,0.9957957189770867,-0.042131438623411885
129,12.9,1,0.2,-3.5184204924815745,0.9953198431920165,-0.04691143033431561
129,12.9,2,0.3,-3.68345796341398,0.9952367883459391,-0.047745918987485314
130,13.0,0,0.1,-3.3971116967929893,0.9955302156612688,-0.044798036921287636
130,13.0,1,0.2,-3.523370786962126,0.9950619380339968,-0.049502944805515266
130,13.0,2,0.3,-3.688501360458661,0.994969299528606,-0.05043397044681282
131,13.1,0,0.1,-3.401859866931527,0.995263084601109,-0.04748170138537694
131,13.1,1,0.2,-3.5285801788143902,0.9948041534982508,-0.0520939185226423
131,13.1,2,0.3,-3.6938111784007868,0.9947042542232679,-0.05309817942125613
132,13.200000000000001,0,0.1,-3.406878366276951,0.9949940722833871,-0.05018499345423794
132,13.200000000000001,1,0.2,-3.534048792083738,0.9945463123762749,-0.054686132693476996
132,13.200000000000001,2,0.3,-3.69938474619515,0.9944419357179507,-0.05573567794363053
133,13.3,0,0.1,-3.4121694677806373,0.9947228717184332,-0.052911015036865204
133,13.3,1,0.2,-3.539776976669709,0.9942881901825368,-0.05728184585970928
133,13.3,2,0.3,-3.7052191649362314,0.9941825684271345,-0.05834418741081503
134,13.4,0,0.1,-3.4177357969264737,0.9944491341596569,-0.055663291458363434
134,13.4,1,0.2,-3.5457653395094324,0.9940295316676078,-0.05988362839723504
134,13.4,2,0.3,-3.711311351905904,0.9939263327736988,-0.06092186969672863
135,13.5,0,0.1,-3.4235803612662705,0.9941724819009126,-0.05844564339796875
135,13.5,1,0.2,-3.5520147581214965,0.9937700683891556,-0.06249418612064095
135,13.5,2,0.3,-3.7176580702970634,0.9936733794850107,-0.06346718391159212
136,13.6,0,0.1,-3.4297065670803457,0.9938925211235567,-0.06126205814075213
136,13.6,1,0.2,-3.5585263768326967,0.9935095359360154,-0.0651161871120023
136,13.6,2,0.3,-3.7242559469161556,0.9934238415779361,-0.06597876619092193
137,13.700000000000001,0,0.1,-3.436118223733305,0.9936088541580539,-0.06411656652959416
137,13.700000000000001,1,0.2,-3.565301586970065,0.9932476898522342,-0.06775210137368053
137,13.700000000000001,2,0.3,-3.7311014807388276,0.9931778434702206,-0.06845533822671959
138,13.8,0,0.1,-3.4428195365051626,0.9933210909518546,-0.06701312771857394
138,13.8,1,0.2,-3.5723419926872575,0.9929843198790343,-0.07040405717192691
138,13.8,2,0.3,-3.738191044452247,0.9929355079593427,-0.07089563713419203
139,13.9,0,0.1,-3.4498150885675782,0.9930288598538002,-0.06995552062415669
139,13.9,1,0.2,-3.5796493639578286,0.9927192626527307,-0.07307371270571154
139,13.9,2,0.3,-3.74552087931903,0.9926969628585299,-0.07329834866783207
140,14.0,0,0.1,-3.4571098125577393,0.9927318179310087,-0.07294723990161094
140,14.0,1,0.2,-3.5872255778133293,0.9924524133118902,-0.07576213855500695
140,14.0,2,0.3,-3.7530870814445363,0.9924623495272238,-0.0756620212550632
141,14.1,0,0.1,-3.4647089521269376,0.9924296608928126,-0.07599139569198358
141,14.1,1,0.2,-3.5950725484330177,0.9921837364825272,-0.07846970619688448
141,14.1,2,0.3,-3.760885575624438,0.9922318351835038,-0.07798494179901666
142,14.200000000000001,0,0.1,-3.472618014107975,0.9921221323561825,-0.07909061981037245
142,14.200000000000001,1,0.2,-3.6031921465164753,0.9919132768158987,-0.0811959808345752
142,14.200000000000001,2,0.3,-3.7689120721817346,0.9920056297548226,-0.08026496557296589
143,14.3,0,0.1,-3.4808427126376023,0.9918090317661404,-0.0822469852962729
143,14.3,1,0.2,-3.6115861087246404,0.9916411687279751,-0.08393962208165047
143,14.3,2,0.3,-3.7771620031236686,0.9917840063474486,-0.08249930941933965
144,14.4,0,0.1,-3.4893889076158655,0.9914902199358839,-0.08546194978263286
144,14.4,1,0.2,-3.6202559389457263,0.9913676443792714,-0.08669830221085947
