z_index,z,theta,phi,rho,B,F,G,E_y,D_x,D_y,g_xx,g_xy,g_yy,kperp2_min,kperp2_max
76,-0.203125,-1.2762720155208536,-8.837,0.8,1.176,0.0019607888988921506,-0.03693595144720774,-0.1546,-0.0747,-0.2708,0.3208,0.1996,4.439,0.044390000000000006,0.39951
77,-0.19921875,-1.2517283229146832,-8.673,0.8,1.228,0.0019607888988921506,-0.0012384720900259283,-0.2005,-0.07501,-0.3658,0.4152,-0.4429,4.108,0.041080000000000005,0.36971999999999994
78,-0.1953125,-1.227184630308513,-8.511,0.8,1.161,0.0019607888988921506,0.052659605785805134,-0.2072,-0.0775,-0.375,0.9455,-0.4797,1.669,0.016690000000000003,0.15021
79,-0.19140625,-1.2026409377023426,-8.344,0.8,1.052,0.0019607888988921506,0.03664081124970344,-0.1821,-0.04858,-0.31620000000000004,1.628,0.5444,0.8629,0.008629000000000001,0.077661
80,-0.1875,-1.1780972450961724,-8.169,0.8,0.9872,0.0019607888988921506,0.032884715052924875,-0.04684,0.06941,-0.039113999999999996,2.102,1.763,1.942,0.019420000000000003,0.17478
81,-0.18359375,-1.1535535524900022,-7.991,0.8,0.9498,0.0019607888988921506,-0.005476558292483473,0.0645,0.07145,0.1879,2.074,2.19,2.748,0.027480000000000008,0.24732
82,-0.1796875,-1.1290098598838318,-7.818,0.8,0.9995,0.0019607888988921506,-0.034285517402122774,0.02016,0.002679,0.09353,2.546,2.895,3.683,0.03683000000000001,0.33147
83,-0.17578125,-1.1044661672776617,-7.654,0.8,1.067,0.0019607888988921506,-0.031664795318200746,-0.03552,-0.05828,-0.024300000000000002,3.253,4.011,5.296,0.052960000000000014,0.47664
84,-0.171875,-1.0799224746714913,-7.494,0.8,1.119,0.0019607888988921506,-0.009655522375679626,-0.09012,-0.09751,-0.13778,3.447,4.612,6.536,0.06536000000000002,0.58824
85,-0.16796875,-1.055378782065321,-7.336,0.8,1.099,0.0019607888988921506,0.024544579339057734,-0.1523,-0.1297,-0.2606,2.561,3.802,6.114,0.061140000000000014,0.55026
86,-0.1640625,-1.030835089459151,-7.174,0.8,1.034,0.0019607888988921506,0.03209127929065447,-0.06012,-0.04072,-0.07054,1.409,2.416,4.901,0.049010000000000005,0.44109
87,-0.16015625,-1.0062913968529805,-7.007,0.8,0.9852,0.0019607888988921506,0.012805574746948958,-0.01685,-0.003275,0.021079999999999998,0.5597,0.8985,3.177,0.03177000000000001,0.28593
88,-0.15625,-0.9817477042468103,-6.836,0.8,0.9841,0.0019607888988921506,-0.010122384231015838,-0.01784,0.0007953,0.01922,0.5381,-0.1125,1.824,0.018240000000000003,0.16416
89,-0.15234375,-0.9572040116406401,-6.669,0.8,1.024,0.0019607888988921506,-0.029598160767249856,-0.006942,0.03073,0.036788,1.352,-0.5262,0.9811,0.009811000000000002,0.08829899999999999
90,-0.1484375,-0.9326603190344698,-6.506,0.8,1.092,0.0019607888988921506,-0.028093623111532077,0.0173,0.1251,0.07917,2.526,-0.3927,0.5335,0.005335000000000001,0.048014999999999995
91,-0.14453125,-0.9081166264282996,-6.347,0.8,1.118,0.0019607888988921506,0.006609687910095931,0.03986,0.103,0.12228,3.472,-0.01802,0.3599,0.0035990000000000006,0.032390999999999996
92,-0.140625,-0.8835729338221293,-6.189,0.8,1.075,0.0019607888988921506,0.028028530869041283,0.04264,0.06071,0.13132,3.418,0.3376,0.3712,0.0037120000000000005,0.03340799999999999
93,-0.13671875,-0.859029241215959,-6.025,0.8,1.008,0.0019607888988921506,0.036127441830623934,0.01941,0.002776,0.0912,2.704,0.5251,0.4774,0.0047740000000000005,0.042966
94,-0.1328125,-0.8344855486097889,-5.853,0.8,0.9527,0.0019607888988921506,0.009631823964839959,-0.02264,-0.06513,0.013310000000000002,2.148,0.581,0.5796,0.005796000000000001,0.052163999999999995
95,-0.12890625,-0.8099418560036186,-5.676,0.8,0.9811,0.0019607888988921506,-0.029683735604252786,-0.1329,-0.07884,-0.21056,2.151,0.9922,0.9053,0.009053000000000002,0.081477
