case,ky,z_index,z,theta,phi,B,F,G,E_y,D_x,D_y,g_xx,g_xy,g_yy,kperp2,bessel_j0_rms_over_mu,gamma0_mean_over_species,magnetic_drift_frequency_rms_over_velocity,maxwellian_mean_over_velocity,drive_factor_mean_over_velocity,field_denominator_real,field_denominator_imag,ion_polarization_real,electron_response
gkw_fd_16x8,0.3,163,0.13671875,0.859029241215959,6.025,1.008,0.0019607888988921506,-0.03612744183062379,0.01941,-0.002776,0.0912,2.704,-0.5251,0.4774,0.042966,0.9894800989431665,0.979188025703639,0.06083069682509337,0.03982679210249047,3.4965625,-1.020811974296361,0.0,-0.020811974296360947,1.0
gkw_fd_16x8,0.3,164,0.140625,0.8835729338221293,6.189,1.075,0.0019607888988921506,-0.028028530869041335,0.04264,-0.06071,0.13132,3.418,-0.3376,0.3712,0.03340799999999999,0.9923114356039627,0.985700933391296,0.08891532390242181,0.0386747614185667,3.6967773437499996,-1.014299066608704,0.0,-0.014299066608703948,1.0
gkw_fd_16x8,0.3,165,0.14453125,0.9081166264282996,6.347,1.118,0.0019607888988921506,-0.00660968791009587,0.03986,-0.103,0.12228,3.472,0.01802,0.3599,0.032390999999999996,0.992829025697315,0.9871678274516598,0.08359327328505277,0.03798023271308872,3.8252734375000004,-1.0128321725483402,0.0,-0.012832172548340237,1.0
gkw_fd_16x8,0.3,166,0.1484375,0.9326603190344698,6.506,1.092,0.0019607888988921506,0.02809362311153182,0.0173,-0.1251,0.07917,2.526,0.3927,0.5335,0.048014999999999995,0.9891512795813018,0.9801679400669477,0.053809174978201035,0.03839617848007083,3.7475781250000004,-1.0198320599330524,0.0,-0.01983205993305226,1.0
gkw_fd_16x8,0.3,167,0.15234375,0.9572040116406401,6.669,1.024,0.0019607888988921506,0.029598160767249797,-0.006942,-0.03073,0.036788,1.352,0.5262,0.9811,0.08829899999999999,0.9789134099432478,0.9591947951907676,0.024625932509162923,0.03954354472293738,3.544375,-1.0408052048092324,0.0,-0.04080520480923244,1.0
gkw_fd_16x8,0.3,168,0.15625,0.9817477042468103,6.836,0.9841,0.0019607888988921506,0.010122384231015953,-0.01784,-0.0007953,0.01922,0.5381,0.1125,1.824,0.16416,0.9598990972134631,0.9203891136083994,0.012751198836089672,0.04025988395631551,3.4251425781249996,-1.0796108863916007,0.0,-0.07961088639160063,1.0
gkw_fd_16x8,0.3,169,0.16015625,1.0062913968529805,7.007,0.9852,0.0019607888988921506,-0.012805574746948899,-0.01685,0.003275,0.021079999999999998,0.5597,-0.8985,3.177,0.28593,0.9320490496840185,0.8677287117519745,0.013988641838765766,0.040239682422033726,3.4284296874999995,-1.1322712882480255,0.0,-0.13227128824802548,1.0
gkw_fd_16x8,0.3,170,0.1640625,1.030835089459151,7.174,1.034,0.0019607888988921506,-0.03209127929065436,-0.06012,0.04072,-0.07054,1.409,-2.416,4.901,0.44109,0.903023358543965,0.822283642996024,0.04732552305112487,0.039369165346097475,3.5742578124999995,-1.177716357003976,0.0,-0.17771635700397603,1.0
gkw_fd_16x8,0.3,171,0.16796875,1.055378782065321,7.336,1.099,0.0019607888988921506,-0.024544579339057817,-0.1523,0.1297,-0.2606,2.561,-3.802,6.114,0.55026,0.8879998590021756,0.8066515926406849,0.17739811867785552,0.038283004352464185,3.7684960937499987,-1.193348407359315,0.0,-0.19334840735931513,1.0
gkw_fd_16x8,0.3,172,0.171875,1.0799224746714913,7.494,1.119,0.0019607888988921506,0.009655522375679626,-0.09012,0.09751,-0.13778,3.447,-4.612,6.536,0.58824,0.8830502672949938,0.801601339365236,0.0942104183992804,0.037964473562743975,3.8282617187499994,-1.1983986606347639,0.0,-0.19839866063476397,1.0
